day,slot_position,provider_type
1,1,EMS
2,1,EMS
3,1,F
4,1,EMS
5,1,EMS
6,1,EMS
1,2,AP
2,2,AP
3,2,AP
4,2,AP
5,2,AP
6,2,AP
2,3,Pi1
5,3,Pi1
1,4,F
2,4,Pi2
3,4,Pi2
4,4,EMI
5,4,EMI
6,4,EMI
3,5,Pi1
1,6,Ps2
2,6,Ps2
3,6,Ps2
4,6,EMI
5,6,EMI
6,6,EMI
1,7,EMS
2,7,EMS
3,7,AP
4,7,AP
5,7,F
6,7,F
1,8,AP
2,8,AP
3,8,AP
4,8,AP
5,8,Ps1
6,8,Ps1
1,9,AP
2,9,AP
3,9,EMS
4,9,EMS
5,9,EMS
6,9,EMS
1,10,Ps1
2,10,Ps1
3,10,EMI
4,10,EMI
5,10,EMI
6,10,EMI
7,1,EMS
8,1,EMS
9,1,EMS
10,1,F
11,1,EMS
12,1,EMS
13,1,EMS
7,2,AP
8,2,AP
9,2,AP
10,2,AP
11,2,AP
12,2,AP
13,2,AP
12,3,Pi1
7,4,EMI
8,4,EMI
9,4,Ps1
10,4,Ps1
11,4,EMI
12,4,EMI
13,4,Pi1
7,5,Pi2
7,6,EMI
8,6,Ps2
9,6,Ps2
10,6,Pi2
11,6,EMI
12,6,EMI
13,6,EMI
8,7,Pi2
9,7,Pi2
7,8,F
8,8,EMS
9,8,EMS
10,8,AP
11,8,AP
12,8,EMS
13,8,EMS
7,9,Ps1
8,9,AP
9,9,AP
10,9,AP
11,9,AP
12,9,Ps2
13,9,Ps2
7,10,AP
8,10,AP
9,10,AP
10,10,EMS
11,10,EMS
12,10,EMS
13,10,EMS
7,11,Pi1
8,11,Pi1
9,11,Pi1
10,11,EMI
11,11,EMI
12,11,EMI
13,11,EMI
14,1,EMS
15,1,EMS
16,1,EMS
17,1,F
18,1,EMS
19,1,EMS
20,1,EMS
14,2,AP
15,2,AP
16,2,AP
17,2,AP
18,2,AP
19,2,AP
20,2,AP
16,3,Pi1
17,3,Pi1
14,4,Pi1
15,4,EMI
16,4,Ps2
17,4,Ps2
18,4,EMI
19,4,EMI
20,4,EMI
15,5,Ps1
14,6,EMI
15,6,EMI
16,6,Ps1
17,6,Ps1
18,6,EMI
19,6,Ps1
20,6,EMI
14,7,EMS
15,7,EMS
16,7,EMS
17,7,AP
18,7,AP
19,7,EMS
20,7,EMS
14,8,Ps2
15,8,AP
16,8,AP
17,8,AP
18,8,AP
19,8,EMI
20,8,Ps1
14,9,AP
15,9,AP
16,9,AP
17,9,EMS
18,9,EMS
19,9,F
20,9,F
14,10,Pi2
15,10,Pi2
16,10,Pi2
17,10,EMI
18,10,EMI
19,10,EMI
20,10,EMI
21,1,EMS
22,1,EMS
23,1,EMS
24,1,F
25,1,EMS
26,1,EMS
27,1,EMS
21,2,AP
22,2,AP
23,2,AP
24,2,AP
25,2,AP
26,2,AP
27,2,AP
22,3,Pi2
23,3,Pi2
21,4,Pi1
22,4,EMI
23,4,EMI
24,4,Pi2
25,4,EMI
26,4,EMI
27,4,Pi2
21,5,EMI
22,5,EMI
23,5,Ps1
24,5,Ps1
25,5,EMI
26,5,Ps2
27,5,Ps2
21,6,EMS
22,6,EMS
23,6,EMS
24,6,AP
25,6,AP
26,6,EMS
27,6,EMS
22,7,Pi1
26,7,Pi1
21,8,EMI
22,8,AP
23,8,AP
24,8,AP
25,8,AP
26,8,EMI
27,8,EMI
21,9,AP
22,9,AP
23,9,AP
24,9,EMS
25,9,EMS
26,9,EMS
27,9,EMS
21,10,Ps1
22,10,Ps2
23,10,Ps2
24,10,EMI
25,10,EMI
26,10,EMI
27,10,EMI
28,1,EMS
28,2,AP
28,3,Pi2
28,4,Ps2
28,5,EMS
28,6,EMI
28,7,AP
28,8,EMI
