season,shift_name,day_of_week,hours
Oct-Mar,Day,Monday,8.5
Oct-Mar,Day,Tuesday,8.5
Oct-Mar,Day,Wednesday,8.5
Oct-Mar,Day,Thursday,8.5
Oct-Mar,Day,Friday,8.5
Oct-Mar,Day,Saturday,8.5
Oct-Mar,Day,Sunday,8.5
Oct-Mar,Mid-Day,Monday,8.5
Oct-Mar,Mid-Day,Tuesday,8.5
Oct-Mar,Mid-Day,Wednesday,8.5
Oct-Mar,Mid-Day,Thursday,8.5
Oct-Mar,Mid-Day,Friday,8.5
Oct-Mar,Mid-Day,Saturday,8.5
Oct-Mar,Mid-Day,Sunday,8.5
Oct-Mar,Evening,Monday,8.5
Oct-Mar,Evening,Tuesday,8.5
Oct-Mar,Evening,Wednesday,8.5
Oct-Mar,Evening,Thursday,8.5
Oct-Mar,Evening,Friday,8.5
Oct-Mar,Evening,Saturday,8.5
Oct-Mar,Evening,Sunday,8.5
Oct-Mar,Swing,Monday,8.5
Oct-Mar,Swing,Tuesday,8.5
Oct-Mar,Swing,Wednesday,8.5
Oct-Mar,Swing,Thursday,8.5
Oct-Mar,Swing,Friday,8.5
Oct-Mar,Swing,Saturday,8.5
Oct-Mar,Swing,Sunday,8.5
Oct-Mar,Night,Monday,8.5
Oct-Mar,Night,Tuesday,8.5
Oct-Mar,Night,Wednesday,8.5
Oct-Mar,Night,Thursday,8.5
Oct-Mar,Night,Friday,8.5
Oct-Mar,Night,Saturday,8.5
Oct-Mar,Night,Sunday,8.5
Apr-Sept,Day,Monday,8.5
Apr-Sept,Day,Tuesday,8.5
Apr-Sept,Day,Wednesday,8.5
Apr-Sept,Day,Thursday,8.5
Apr-Sept,Day,Friday,8.5
Apr-Sept,Day,Saturday,8.5
Apr-Sept,Day,Sunday,8.5
Apr-Sept,Evening,Monday,8.5
Apr-Sept,Evening,Tuesday,8.5
Apr-Sept,Evening,Wednesday,8.5
Apr-Sept,Evening,Thursday,8.5
Apr-Sept,Evening,Friday,8.5
Apr-Sept,Evening,Saturday,8.5
Apr-Sept,Evening,Sunday,8.5
Apr-Sept,Swing,Monday,8.5
Apr-Sept,Swing,Tuesday,8.5
Apr-Sept,Swing,Wednesday,8.5
Apr-Sept,Swing,Thursday,8.5
Apr-Sept,Swing,Friday,8.5
Apr-Sept,Swing,Saturday,8.5
Apr-Sept,Swing,Sunday,8.5
Apr-Sept,Night,Monday,8.5
Apr-Sept,Night,Tuesday,8.5
Apr-Sept,Night,Wednesday,8.5
Apr-Sept,Night,Thursday,8.5
Apr-Sept,Night,Friday,8.5
Apr-Sept,Night,Saturday,8.5
Apr-Sept,Night,Sunday,8.5
