hour,arrivals_mean,discharges_mean,admits_mean,net_flow,cumulative_net_flow
0,2.0,4.0,0.6,-2.6,-2.6
1,2.0,4.0,0.5,-2.5,-5.1
2,1.0,3.0,0.5,-2.5,-7.6
3,1.0,2.0,0.4,-1.4,-9.0
4,1.0,2.0,0.3,-1.3,-10.3
5,1.0,2.0,0.3,-1.3,-11.6
6,1.0,1.0,0.2,-0.2,-11.8
7,2.0,1.0,0.1,0.9,-10.9
8,3.0,1.0,0.3,1.7,-9.2
9,4.0,2.0,0.3,1.7,-7.5
10,4.0,2.0,0.3,1.7,-5.8
11,5.0,3.0,0.3,1.7,-4.1
12,4.0,3.0,0.2,0.8,-3.3
13,5.0,3.0,0.3,1.7,-1.6
14,4.0,4.0,0.3,-0.3,-1.9
15,5.0,4.0,0.4,0.6,-1.3
16,5.0,4.0,0.5,0.5,-0.8
17,6.0,4.0,0.6,1.4,0.6
18,6.0,4.0,0.5,1.5,2.1
19,6.0,5.0,0.2,0.8,2.9
20,6.0,5.0,0.7,0.3,3.2
21,5.0,5.0,0.7,-0.7,2.5
22,4.0,4.0,0.7,-0.7,1.8
23,3.0,4.0,0.7,-1.7,0.1
